ts,size,n,m,p,totaltime
1718562765560,5,100,100,100,2094
1718562775984,5,100,100,100,2224
1718562786648,5,100,100,100,2177
1718562797356,5,100,100,100,2166
1718562808272,5,100,100,100,2089
1718562818956,5,100,100,100,2233
1718562830680,5,100,100,100,2124
1718562841060,5,100,100,100,2131
1718562852776,5,100,100,100,2207
1718562863920,5,100,100,100,2335
1718562875808,5,100,100,100,2055
1718562886456,5,100,100,100,2300
1718562897648,5,100,100,100,2366
1718562908872,5,100,100,100,2190
1718562919504,5,100,100,100,2210
1718562931372,5,100,100,100,2102
1718562942240,5,100,100,100,2202
1718562952904,5,100,100,100,2188
1718562963708,5,100,100,100,2225
1718562974528,5,100,100,100,2298
1718562985392,5,100,100,100,2293
1718562996248,5,100,100,100,2689
1718563007588,5,100,100,100,2208
1718563020560,5,100,100,100,2199
1718563031604,5,100,100,100,2113
1718563043398,5,100,100,100,2135
1718563054344,5,100,100,100,2100
1718563065104,5,100,100,100,2299
1718563077320,5,100,100,100,2230
1718563088684,5,100,100,100,2201
1718563100612,5,100,100,100,2196
1718563111748,5,100,100,100,2290
1718563123280,5,100,100,100,2086
1718563133880,5,100,100,100,2210
1718563145008,5,100,100,100,2226
1718563156016,5,100,100,100,2139
1718563167988,5,100,100,100,2523
1718563180628,5,100,100,100,2055
1718563193088,5,100,100,100,2154
1718563204212,5,100,100,100,2250
1718563215056,5,100,100,100,2330
1718563227024,5,100,100,100,2322
1718563239060,5,100,100,100,2072
1718563250936,6,100,100,100,2163
1718563261956,6,100,100,100,2244
1718563273024,6,100,100,100,2254
1718563284000,6,100,100,100,2253
1718563295004,6,100,100,100,1980
1718563306440,6,100,100,100,2146
1718563317228,6,100,100,100,2148
1718563329316,6,100,100,100,2765
1718563342111,6,100,100,100,2250
1718563354380,6,100,100,100,2237
1718563366292,6,100,100,100,2246
1718563378732,6,100,100,100,2257
1718563389984,6,100,100,100,2276
1718563401280,6,100,100,100,2236
1718563412276,6,100,100,100,2229
1718563423268,6,100,100,100,1915
1718563434031,6,100,100,100,2231
1718563445008,6,100,100,100,2173
1718563456568,6,100,100,100,2261
1718563467764,6,100,100,100,2261
1718563478844,6,100,100,100,2161
1718563490228,6,100,100,100,2157
1718563501620,6,100,100,100,2237
1718563512888,6,100,100,100,2258
1718563524632,6,100,100,100,2257
1718563536342,6,100,100,100,2916
1718563549056,6,100,100,100,2002
1718563560204,6,100,100,100,2244
1718563571632,6,100,100,100,2267
1718563582904,6,100,100,100,2216
1718563594536,6,100,100,100,2189
1718563605685,6,100,100,100,2059
1718563616652,6,100,100,100,2168
1718563627764,6,100,100,100,2269
1718563640432,6,100,100,100,2271
1718563651840,6,100,100,100,2181
1718563663076,6,100,100,100,2276
1718563674552,6,100,100,100,2063
1718563685684,6,100,100,100,2222
1718563696832,6,100,100,100,2310
1718563708113,6,100,100,100,2284
1718563719536,6,100,100,100,2290
1718563731800,6,100,100,100,2102
1718563742976,6,100,100,100,2357
1718563754292,6,100,100,100,2234
1718563765688,6,100,100,100,2221
1718563777032,6,100,100,100,2256
1718563788548,6,100,100,100,2044
1718563799280,6,100,100,100,2222
1718563810720,6,100,100,100,2272
1718563821968,6,100,100,100,2286
1718563833684,6,100,100,100,2264
1718563845120,6,100,100,100,2043
1718563856640,6,100,100,100,2244
1718563868288,6,100,100,100,2206
1718563879888,6,100,100,100,2187
1718563891224,6,100,100,100,2274
1718563903292,6,100,100,100,2104
1718563915632,6,100,100,100,2221
1718563927212,6,100,100,100,2193
1718563938724,6,100,100,100,2272
1718563950576,6,100,100,100,2303
1718563962016,6,100,100,100,2239
1718563974404,6,100,100,100,2085
1718563986008,6,100,100,100,2263
1718563998272,6,100,100,100,2206
1718564009584,6,100,100,100,2128
1718564020772,6,100,100,100,2166
1718564032124,6,100,100,100,2074
1718564043636,6,100,100,100,2140
1718564055080,6,100,100,100,2305
1718564066768,6,100,100,100,2217
1718564078204,6,100,100,100,2166
1718564090428,6,100,100,100,2125
1718564102055,6,100,100,100,2170
1718564113564,6,100,100,100,2239
1718564124892,6,100,100,100,2354
1718564136524,6,100,100,100,2234
1718564148140,6,100,100,100,2191
1718564159596,6,100,100,100,2066
1718564171190,6,100,100,100,2138
1718564182780,6,100,100,100,2180
1718564194273,6,100,100,100,2223
1718564205732,6,100,100,100,2326
1718564217244,6,100,100,100,2135
1718564228648,6,100,100,100,2189
1718564240008,6,100,100,100,2279
1718564252016,6,100,100,100,2401
1718564264212,6,100,100,100,2198
1718564277212,6,100,100,100,2098
1718564288608,6,100,100,100,2143
1718564300016,6,100,100,100,2186
1718564311752,6,100,100,100,2224
1718564323046,6,100,100,100,2265
1718564334506,6,100,100,100,2054
1718564347044,6,100,100,100,2135
1718564358868,6,100,100,100,2219
1718564370616,6,100,100,100,2241
1718564382648,6,100,100,100,2159
1718564395928,6,100,100,100,2132
1718564407580,7,100,100,100,2160
1718564419284,7,100,100,100,2170
1718564430648,7,100,100,100,2197
1718564442180,7,100,100,100,2285
1718564455344,7,100,100,100,2255
1718564466944,7,100,100,100,2085
1718564479764,7,100,100,100,2154
1718564491436,7,100,100,100,2134
1718564503668,7,100,100,100,2227
1718564515728,7,100,100,100,2319
1718564528980,7,100,100,100,2058
1718564540600,7,100,100,100,2172
1718564553636,7,100,100,100,2140
1718564565088,7,100,100,100,2118
1718564576792,7,100,100,100,2200
1718564588740,7,100,100,100,2144
1718564600788,7,100,100,100,2165
1718564612348,7,100,100,100,2167
1718564624372,7,100,100,100,2188
1718564636216,7,100,100,100,2245
1718564648108,7,100,100,100,2183
1718564659624,7,100,100,100,2226
1718564672068,7,100,100,100,2146
1718564683645,7,100,100,100,2196
1718564695120,7,100,100,100,2208
1718564706746,7,100,100,100,2151
1718564718772,7,100,100,100,2211
1718564730536,7,100,100,100,2248
1718564742528,7,100,100,100,2265
1718564754368,7,100,100,100,2209
1718564766068,7,100,100,100,2071
1718564777819,7,100,100,100,2116
1718564789620,7,100,100,100,2277
1718564801520,7,100,100,100,2127
1718564813152,7,100,100,100,2114
1718564825048,7,100,100,100,2146
1718564836996,7,100,100,100,2081
1718564848600,7,100,100,100,2077
1718564860404,7,100,100,100,2066
1718564872260,7,100,100,100,2286
1718564884972,7,100,100,100,2274
1718564896573,7,100,100,100,2060
1718564908308,7,100,100,100,2288
1718564920136,7,100,100,100,2169
1718564932160,7,100,100,100,2190
1718564943796,7,100,100,100,2163
1718564956432,7,100,100,100,2167
1718564968480,7,100,100,100,2142
1718564980288,7,100,100,100,2230
1718564992561,7,100,100,100,2295
1718565005808,7,100,100,100,2352
1718565017780,7,100,100,100,2130
1718565030452,7,100,100,100,2247
1718565043860,7,100,100,100,2334
1718565055836,7,100,100,100,2159
1718565067728,7,100,100,100,2246
1718565079528,7,100,100,100,2134
1718565091460,7,100,100,100,2199
1718565103820,7,100,100,100,2236
1718565115840,7,100,100,100,2266
1718565127660,7,100,100,100,2172
1718565140260,7,100,100,100,2026
1718565151900,7,100,100,100,2217
1718565165572,7,100,100,100,2276
1718565179115,7,100,100,100,2199
1718565191332,7,100,100,100,2155
1718565204920,7,100,100,100,2092
1718565216620,7,100,100,100,2124
1718565228496,7,100,100,100,2180
1718565241148,7,100,100,100,2196
1718565253292,7,100,100,100,2216
1718565265064,7,100,100,100,2263
1718565277036,7,100,100,100,2267
1718565289111,7,100,100,100,2235
1718565301100,7,100,100,100,2268
1718565313160,7,100,100,100,2212
1718565325200,7,100,100,100,2027
1718565336844,7,100,100,100,2745
1718565350728,7,100,100,100,2205
1718565363156,7,100,100,100,2388
1718565375824,7,100,100,100,2197
1718565387852,7,100,100,100,2140
1718565400311,7,100,100,100,2216
1718565412188,7,100,100,100,2291
1718565424148,7,100,100,100,2265
1718565436244,7,100,100,100,2209
1718565448276,7,100,100,100,2198
1718565461648,7,100,100,100,2160
1718565473695,7,100,100,100,2288
1718565485792,7,100,100,100,2211
1718565497832,7,100,100,100,2186
1718565511052,7,100,100,100,2104
1718565523884,7,100,100,100,2177
1718565537120,7,100,100,100,2250
1718565549808,7,100,100,100,2159
1718565561936,7,100,100,100,2022
1718565573920,7,100,100,100,2179
1718565586332,7,100,100,100,2159
1718565598440,7,100,100,100,2275
1718565610388,7,100,100,100,2215
1718565622748,8,100,100,100,2157
1718565635068,8,100,100,100,2046
1718565647036,8,100,100,100,2094
1718565659328,8,100,100,100,2233
1718565672608,8,100,100,100,2230
1718565684944,8,100,100,100,1997
1718565697116,8,100,100,100,2636
1718565711110,8,100,100,100,2186
1718565723624,8,100,100,100,2245
1718565737440,8,100,100,100,2083
1718565750060,8,100,100,100,2050
1718565762748,8,100,100,100,2181
1718565774720,8,100,100,100,2129
1718565786900,8,100,100,100,2049
1718565798976,8,100,100,100,2131
1718565811048,8,100,100,100,2022
1718565823072,8,100,100,100,2013
1718565835128,8,100,100,100,2154
1718565847212,8,100,100,100,2106
1718565859304,8,100,100,100,2157
1718565871870,8,100,100,100,2086
1718565884096,8,100,100,100,2163
1718565896400,8,100,100,100,2184
1718565908992,8,100,100,100,2068
1718565921435,8,100,100,100,2140
1718565933444,8,100,100,100,2025
1718565946260,8,100,100,100,1996
1718565958364,8,100,100,100,2133
1718565970512,8,100,100,100,2157
1718565982784,8,100,100,100,2047
1718565994920,8,100,100,100,1969
1718566006680,8,100,100,100,2148
1718566018772,8,100,100,100,2130
1718566030880,8,100,100,100,2192
1718566043100,8,100,100,100,2192
1718566055632,8,100,100,100,2467
1718566069676,8,100,100,100,2198
1718566083084,8,100,100,100,2158
1718566095660,8,100,100,100,2273
1718566108252,8,100,100,100,2226
1718566120564,8,100,100,100,2081
1718566133156,8,100,100,100,2251
1718566145656,8,100,100,100,2078
1718566158124,8,100,100,100,2075
1718566170448,8,100,100,100,2085
1718566183120,8,100,100,100,2063
1718566195412,8,100,100,100,2265
1718566208152,8,100,100,100,2267
1718566221792,8,100,100,100,2128
1718566234196,8,100,100,100,2039
1718566246928,8,100,100,100,2047
1718566259416,8,100,100,100,2065
1718566272376,8,100,100,100,2204
1718566284752,8,100,100,100,2176
1718566297480,8,100,100,100,2005
1718566309876,8,100,100,100,2166
1718566322456,8,100,100,100,2122
1718566334884,8,100,100,100,2196
1718566347352,8,100,100,100,2132
1718566359752,8,100,100,100,2158
1718566372072,8,100,100,100,2196
1718566385048,8,100,100,100,2072
1718566397598,8,100,100,100,2067
1718566410624,8,100,100,100,2155
1718566423716,8,100,100,100,2097
1718566436113,8,100,100,100,2269
1718566449168,8,100,100,100,2175
1718566461880,8,100,100,100,2117
1718566474700,8,100,100,100,2137
1718566487200,8,100,100,100,2129
1718566499700,8,100,100,100,2102
1718566512252,8,100,100,100,2210
1718566526088,8,100,100,100,2298
